height,time,type,date
-0.3089591783047478,12:34:00,low,2021-05-03
-0.2625609115384272,01:44:00,low,2021-05-04
-0.2812796480669321,14:16:00,low,2021-05-04
-0.3148081080078761,03:21:00,low,2021-05-05
-0.3237424754137459,15:36:00,low,2021-05-05
-0.4018879862216305,04:24:00,low,2021-05-06
-0.3872304337552347,16:31:00,low,2021-05-06
-0.4822244705686901,05:09:00,low,2021-05-07
-0.4456900477412115,17:12:00,low,2021-05-07
-0.5444620349033195,05:45:00,low,2021-05-08
-0.4912986940675029,17:46:00,low,2021-05-08
-0.5887929490832549,06:14:00,low,2021-05-09
-0.522861353282794,18:16:00,low,2021-05-09
-0.6180958767089786,06:41:00,low,2021-05-10
-0.5404204163287625,18:43:00,low,2021-05-10
-0.6338355978757291,07:07:00,low,2021-05-11
-0.5432420902395346,19:10:00,low,2021-05-11
-0.6348981557861172,07:33:00,low,2021-05-12
-0.5298901831226068,19:38:00,low,2021-05-12
-0.6186339209589709,08:00:00,low,2021-05-13
-0.4992995022477157,20:07:00,low,2021-05-13
-0.5828285349642769,08:29:00,low,2021-05-14
-0.451825039826623,20:39:00,low,2021-05-14
-0.5273636742629709,09:01:00,low,2021-05-15
-0.3899335485784719,21:15:00,low,2021-05-15
-0.4552250783057244,09:39:00,low,2021-05-16
-0.3193750783420441,22:01:00,low,2021-05-16
-0.3738112705301031,10:25:00,low,2021-05-17
-0.253665185825788,23:03:00,low,2021-05-17
-0.2994343834772197,11:30:00,low,2021-05-18
-0.2257267522892414,00:34:00,low,2021-05-19
-0.2655353666146654,13:00:00,low,2021-05-19
-0.274392029586073,02:11:00,low,2021-05-20
-0.2987194557002987,14:26:00,low,2021-05-20
-0.3815395676221616,03:23:00,low,2021-05-21
-0.3790112290748698,15:33:00,low,2021-05-21
-0.5081719357443879,04:17:00,low,2021-05-22
-0.4767606817274641,16:25:00,low,2021-05-22
-0.6296895954636244,05:04:00,low,2021-05-23
-0.5716246567921277,17:11:00,low,2021-05-23
-0.7298037455863201,05:46:00,low,2021-05-24
-0.6486492080356785,17:55:00,low,2021-05-24
-0.7967449135091914,06:27:00,low,2021-05-25
-0.6963936082795994,18:38:00,low,2021-05-25
-0.8230841781490512,07:08:00,low,2021-05-26
-0.7074086169887426,19:20:00,low,2021-05-26
-0.8063802522258937,07:49:00,low,2021-05-27
-0.6792727967945421,20:04:00,low,2021-05-27
-0.7495309564526602,08:31:00,low,2021-05-28
-0.6153271272434682,20:49:00,low,2021-05-28
-0.6604855471698315,09:15:00,low,2021-05-29
-0.5249002751521102,21:39:00,low,2021-05-29
-0.5514369775503032,10:02:00,low,2021-05-30
-0.4234301597302524,22:35:00,low,2021-05-30
-0.4380826283082868,10:55:00,low,2021-05-31
-0.333427583736658,23:43:00,low,2021-05-31
-0.3399422240994305,11:59:00,low,2021-06-01
-0.284005391796461,01:08:00,low,2021-06-02
-0.2798307415004649,13:18:00,low,2021-06-02
-0.2919301944816389,02:33:00,low,2021-06-03
-0.2694986009188413,14:36:00,low,2021-06-03
-0.3383053671696694,03:40:00,low,2021-06-04
-0.2944638928908698,15:39:00,low,2021-06-04
