,height,time,type,date,datetime,moonphase
250,-0.3712889379385796,12:22:00,low,2021-03-19,2021-03-19,0.19
251,-0.2953293959875461,00:24:00,low,2021-03-19,2021-03-19,0.19
252,-0.2748326082999144,13:06:00,low,2021-03-20,2021-03-20,0.23
253,-0.1847366506430182,01:13:00,low,2021-03-20,2021-03-20,0.23
254,-0.1869829442739909,14:27:00,low,2021-03-21,2021-03-21,0.25
255,-0.1030479213168283,03:15:00,low,2021-03-22,2021-03-22,0.29
256,-0.1872069339289044,16:55:00,low,2021-03-22,2021-03-22,0.29
257,-0.1643572119726857,05:44:00,low,2021-03-23,2021-03-23,0.33
258,-0.2837664433123212,18:18:00,low,2021-03-23,2021-03-23,0.33
259,-0.2964258444812669,06:47:00,low,2021-03-24,2021-03-24,0.36
260,-0.4018571797905707,19:04:00,low,2021-03-24,2021-03-24,0.36
261,-0.439198524159347,07:28:00,low,2021-03-25,2021-03-25,0.39
262,-0.5192430363226149,19:41:00,low,2021-03-25,2021-03-25,0.39
263,-0.5759367063306156,08:03:00,low,2021-03-26,2021-03-26,0.42
264,-0.6260797725120462,20:14:00,low,2021-03-26,2021-03-26,0.42
265,-0.6946744407343647,08:37:00,low,2021-03-27,2021-03-27,0.46
266,-0.713546193233895,20:47:00,low,2021-03-27,2021-03-27,0.46
267,-0.7838789525939645,09:11:00,low,2021-03-28,2021-03-28,0.5
268,-0.7723870446950083,21:20:00,low,2021-03-28,2021-03-28,0.5
269,-0.8331335387060039,09:46:00,low,2021-03-29,2021-03-29,0.52
270,-0.7938522427388227,21:55:00,low,2021-03-29,2021-03-29,0.52
271,-0.8349813158597075,10:22:00,low,2021-03-30,2021-03-30,0.56
272,-0.7715693148923668,22:31:00,low,2021-03-30,2021-03-30,0.56
273,-0.7868762794638401,11:00:00,low,2021-03-31,2021-03-31,0.59
274,-0.7036114014184057,23:09:00,low,2021-03-31,2021-03-31,0.59
275,-0.6927201643340932,11:41:00,low,2021-04-01,2021-04-01,0.63
